,市場平均,配当コア25 年1回,配当コア25 半年,配当コア15 年1回,配当コア40 年1回,利回りだけ上位25,トレンド条件なし25,減配歴チェックなし25
2022-08-16,2.1225479497674624,0.9964225757878481,1.0870369087487861,1.0635822112989306,0.9925121520247903,1.269150384578394,1.1996262047612734,1.0080957544476088
2022-08-17,2.144832068925089,1.0059487405065284,1.0988112375990449,1.0712001530314115,1.0025397955252264,1.2806912600982219,1.211448559608864,1.0170117482998458
2022-08-18,2.134423531010052,1.0014223321759128,1.0945372704412595,1.0686149828285045,0.9974386419485916,1.2794875680212252,1.2106543461882315,1.0132456099328393
2022-08-19,2.140332756732522,1.0048758250964351,1.0992389375374039,1.0737681048577452,1.0014220453959737,1.2822191210013216,1.2153252684969797,1.0192857103794797
2022-08-22,2.133112425583129,1.0087321243766256,1.1061457635659742,1.0815622539284695,1.0048313619349498,1.2894592338898139,1.2219818813432148,1.0244662556637987
2022-08-23,2.11876760531156,1.0021513952923353,1.0979071524827522,1.0752681771158632,0.9979141736288445,1.2814943050025174,1.2149621309771899,1.018434284122596
2022-08-24,2.1236677086479614,1.008000923430951,1.1046258289152466,1.0831365999158309,1.0035053497518347,1.2839445765199613,1.21835432084641,1.025087149812036
2022-08-25,2.135770969116486,1.0131405495825565,1.1070032842353072,1.0864701025990164,1.0087130861863665,1.288972337888908,1.220982300624908,1.0299444913304512
2022-08-26,2.138665689126873,1.0155151389765682,1.1039386405303877,1.087992426793839,1.0117205701381762,1.286014936433905,1.2219609095206572,1.0308953839073658
2022-08-29,2.10457996658177,1.0053289651336172,1.0967813404241376,1.0771155245569375,1.0012833990902938,1.2750431074645208,1.2133038371789062,1.0219850090076235
2022-08-30,2.1304480839806423,1.0166788932999455,1.1113026741639012,1.0906359672970851,1.0125378171844803,1.2875658352012158,1.2242773628443915,1.033766272065115
2022-08-31,2.12573392618625,1.0121543977436638,1.102713984760227,1.0849120138571076,1.0079549318720427,1.2772684806102002,1.2152749524042263,1.0293107079603767
2022-09-01,2.0966890048975935,1.004977597588833,1.0885284316021733,1.076206927100518,1.0001544459102756,1.2650134510095905,1.2062774417905644,1.0205184444448905
2022-09-02,2.0865298310020512,1.0012471906137388,1.083599577026934,1.0710538977148625,0.9962752443704551,1.2609874222885122,1.2040448728781772,1.016148044026786
2022-09-05,2.0868918345205287,1.001779458190098,1.0856913677455637,1.0738032082279967,0.997097556496212,1.2628110767716176,1.205428531703845,1.0182046628705148
2022-09-06,2.0906792300710597,1.0073158835383342,1.0899485935068751,1.0805203757520168,1.0022787927127832,1.265515149749855,1.2092653985788324,1.0222580604098692
2022-09-07,2.0749434076527935,1.0018198572806245,1.0835964684176618,1.0736133209397838,0.9958081828140196,1.2570877587743605,1.2041575368846513,1.0173579867014304
2022-09-08,2.115917620258934,1.017826811056902,1.099243283714117,1.0876290250607314,1.0120857157511254,1.2748949578236457,1.220553066881494,1.032774436306644
2022-09-09,2.130842020351374,1.0233557401183695,1.1078220953787308,1.09321053853857,1.0178868924420719,1.2835600895465735,1.2288520058756727,1.0364821401931672
2022-09-12,2.1463634804252796,1.0273399382530404,1.1167371294106856,1.0982870567674188,1.021879566132427,1.285399682167937,1.2307843870663642,1.040651595570914
2022-09-13,2.1513310817339506,1.0296418085029824,1.1220602678926936,1.1028104161337169,1.0239506612974496,1.287578291786139,1.2367213937114188,1.041862765720192
2022-09-14,2.116064697896878,1.0174073542739668,1.109613786865031,1.0921874555541127,1.0115741191145105,1.2750221016285872,1.2236555072295927,1.0301141533030527
2022-09-15,2.1177948473623185,1.0179292714320685,1.1099305960679637,1.0918140276060337,1.0125709808081285,1.2744114795973776,1.2236131006406477,1.0303504022880685
2022-09-16,2.099949026923298,1.0125512201092872,1.107679408147308,1.0840860945244275,1.007135349560099,1.276052187114622,1.2181151183108283,1.025508645228026
2022-09-20,2.1131275655084942,1.0205260543511152,1.1164460826528315,1.0931632229154433,1.0149977405793633,1.284181193137333,1.2296509798656174,1.033344479309209
2022-09-21,2.0885959723776897,1.009791303733521,1.1071042708279584,1.0805740678059383,1.0039808885094015,1.2741211210581331,1.2188474209792008,1.023747092092517
2022-09-22,2.083762684406313,1.0110805194674382,1.1090349007596507,1.0828496450076368,1.0053238300620932,1.2713085591383113,1.2197308488795466,1.0248037940344803
2022-09-26,2.034582375309416,0.9862963306418521,1.079086397789944,1.0543365193973795,0.97988206011849,1.2421700157841278,1.1912863243916398,0.9952124053440649
2022-09-27,2.045472445695986,0.9888689928527586,1.0825743566967432,1.0581643416087412,0.9824148744965281,1.2429340866122458,1.1917438888587075,0.9973140194724059
2022-09-28,2.032908978229252,0.9833192679043986,1.0755163162273198,1.0538155138766865,0.9765015989728525,1.2341278229049413,1.1837530547119062,0.9916081274136092
2022-09-29,2.070517533912171,1.0052394519429364,1.098990155784005,1.0777692867738544,0.9983943081001908,1.259585290100634,1.2077891889406271,1.011101260094251
2022-09-30,2.0421201772037043,0.997917864409154,1.0841668252038235,1.065281376643223,0.9907405569648736,1.2446070841284818,1.1957802346990096,1.0013126755137849
